Legend:
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False, C - ControlPlane MAC
   VLAN     MAC Address      Type      age     Secure NTFY Ports
+  800     5254.006e.b490   dynamic  0         F      F    Po100
+  800     5254.0070.8392   dynamic  0         F      F    Po100
+  800     5254.0081.541f   dynamic  0         F      F    Po100
+  800     5254.0085.78f8   dynamic  0         F      F    Po100
+  800     5254.0088.fb13   dynamic  0         F      F    Po100
+  800     5254.0094.2a70   dynamic  0         F      F    Po100
+  800     5254.009e.b5a3   dynamic  0         F      F    Po100
+  800     5254.00a1.6c2e   dynamic  0         F      F    Po100
+  800     5254.00a5.5536   dynamic  0         F      F    Po100
+  800     5254.00a9.990b   dynamic  0         F      F    Po100
+  800     5254.00ac.d856   dynamic  0         F      F    Po100
+  800     5254.00af.2e95   dynamic  0         F      F    Po100
+  800     5254.00b6.b6cc   dynamic  0         F      F    Po100
+  800     5254.00b9.ed6d   dynamic  0         F      F    Po100
+  800     5254.00bc.01f1   dynamic  0         F      F    Po100
+  800     5254.00c0.4ed8   dynamic  0         F      F    Po100
+  800     5254.00c4.08cd   dynamic  0         F      F    Po100
+  800     5254.00d1.fb6c   dynamic  0         F      F    Po100
+  800     5254.00d2.4255   dynamic  0         F      F    Po100
+  800     5254.00df.c293   dynamic  0         F      F    Po100
+  800     5254.00f4.cdd6   dynamic  0         F      F    Po100
+  800     5254.00f6.fee7   dynamic  0         F      F    Po100
+  800     5254.00f8.c818   dynamic  0         F      F    Po100
+  800     5454.0040.d5b4   dynamic  0         F      F    Po100
+  800     d89d.67ee.56b0   dynamic  0         F      F    Po100
+  800     d89d.67ee.59d0   dynamic  0         F      F    Po100
+  800     d89d.67ee.5a8c   dynamic  0         F      F    Po100
+  800     d89d.67ee.5afc   dynamic  0         F      F    Po100
+  800     d89d.67ee.5b8c   dynamic  0         F      F    Po100
+  800     d89d.67ee.5bc0   dynamic  0         F      F    Po100
+  800     d89d.67ee.5c54   dynamic  0         F      F    Po100
+  800     d89d.67ee.665c   dynamic  0         F      F    Po100
+  800     d89d.67ee.6794   dynamic  0         F      F    Po100
+ 3900     8cdc.d4b3.c965   dynamic  0         F      F    Po100
G  800     0000.0c07.ac64   static   -         F      F    sup-eth1(R)
G  400     0000.0c07.ac64   static   -         F      F    sup-eth1(R)
G 1000     0000.0c07.ac64   static   -         F      F    sup-eth1(R)
G  500     0000.0c07.ac64   static   -         F      F    sup-eth1(R)
G  800     885a.9235.bb41   static   -         F      F    Po100(R)
G  400     885a.9235.bb41   static   -         F      F    Po100(R)
G 1000     885a.9235.bb41   static   -         F      F    Po100(R)
G  500     885a.9235.bb41   static   -         F      F    Po100(R)
G    -     885a.92ec.40c1   static   -         F      F    sup-eth1(R)
G  800     885a.92ec.40c1   static   -         F      F    sup-eth1(R)
G  400     885a.92ec.40c1   static   -         F      F    sup-eth1(R)
G 1000     885a.92ec.40c1   static   -         F      F    sup-eth1(R)
G  500     885a.92ec.40c1   static   -         F      F    sup-eth1(R)

